আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
গ্রাডুয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
কতটি প্রোগ্রাম অফার করে আন্ডারগ্রাডুইয়েট এবং গ্রাডুয়েট ডিগ্রিতে?,আন্ডারগ্রাডুইয়েটে ৭ টি এবং গ্রাডুয়েটে ৫ টি প্রোগ্রাম অফার করে
মিনিমাম কোয়ালিফিকেশন কি?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
ভর্তি হতে গেলে মিনিমাম কোয়ালিফিকেশন কি কি থাকতে হবে?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
বছরে কয়টা সেমিস্টার?,বছরে ৩ টি সেমিস্টার
এইচ এস সি এক্সাম দিলে কি আন্ডারগ্রাডুয়েটে ভর্তি হতে পারবো?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য এইচ এস সি তে জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর থাকতে হবে
এডমিশন ফর্ম কোথা থেকে সংগ্রহ করব?,এডমিশন ফর্ম অনলাইন থেকে অথবা ইউ আই ইউ এর এডমিশন ডেস্ক থেকে সংগ্রহ করতে হবে
এডমিশন টেস্টে কি কি টপিক থেকে প্রশ্ন আসতে পারে?,এইচ এস সি অথবা ও লেভেলের নির্ধারিত টপিক এর উপর
এডমিশন ফি কত?,এডমিশন ফি অফেরতযোগ্য ১৫০০০ টাকা এবং আইডি কার্ডের জন্য সিকিউরিটি মানি ফেরতযোগ্য ২০০০ টাকা
কি কি এডমিশন ডকুমেন্টস অবশই সাবমিট করতে হবে?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রয়োজন"
সন্ধ্যাকালীন ক্লাস কি হবে আন্ডারগ্রাডুইয়েট ডিগ্রিতে?,আন্ডারগ্রাডুইয়েট ডিগ্রিতে কোনো সন্ধ্যাকালীন ক্লাস নাই
ইভিনিং ক্লাস কি হয় ?,গ্রাডুয়েট প্রোগ্রাম এর জন্য ইভিনিং ক্লাস হয়
স্টুডেন্টদের জন্য ক্রেডিট ট্রান্সফারের নিয়মগুলা কি কি?,বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
সিব্লিং সুবিধা কি আছে?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
এডমিশন প্রসিডিউর কি?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
